samplename,description,tissue,mated,species,sex,hours_post_mating,group
AT3_MAG-M_Albi,MAG_mated_albi_male_24h_A,MAG,mated,albi,male,24,A
BT1_GAMB_At_V,atrium_virgin_gamb_3h_B,atrium,virgin,gamb,female,3,B
BT1_HM,head_mated_albi_female_3h_B,head,mated,albi,female,3,B
BT1_HV,head_virgin_albi_female_3h_B,head,virgin,albi,female,3,B
BT1_RBM,body_mated_albi_female_3h_B,body,mated,albi,female,3,B
BT1_RBV,body_virgin_albi_female_3h_B,body,virgin,albi,female,3,B
BT3_ALBI_At_V,atrium_virgin_albi_female_24h_B,atrium,virgin,albi,female,24,B
BT3_GAMB_At_V,atrium_virgin_gamb_female_24h_B,atrium,virgin,gamb,female,24,B
BT3_HM,head_mated_albi_female_24h_B,head,mated,albi,female,24,B
BT3_HV,head_virgin_albi_female_24h_B,head,virgin,albi,female,24,B
B-T3_MAG-M_Gamb,MAG_mated_gamb_male_24h_B,MAG,mated,gamb,male,24,B
BT3_MAG-V_Albi,MAG_virgin_albi_male_24h_B,MAG,virgin,albi,male,24,B
B-T3_MAG-V_Gamb,MAG_virgin_gamb_male_24h_B,MAG,virgin,gamb,male,24,B
BT3_RBM,body_mated_albi_female_24h_B,body,mated,albi,female,24,B
BT1_GAMB_At_M,atrium_mated_gamb_female_3h_B,atrium,mated,gamb,female,3,B
BT3_ALBI_At_M,atrium_mated_albi_female_24h_B,atrium,mated,albi,female,24,B
BT3_GAMB_At_M,atrium_mated_gamb_female_24h_B,atrium,mated,gamb,female,24,B
BT3_RBV,body_virgin_albi_female_24h_B,body,virgin,albi,female,24,B
CT1_GAMB_At_M,atrium_mated_gamb_female_3h_C,atrium,mated,gamb,female,3,C
CT1_GAMB_At_V,atrium_virgin_gamb_female_3h_C,atrium,virgin,gamb,female,3,C
CT1_HM,head_mated_albi_female_3h_C,head,mated,albi,female,3,C
CT1_RBM,body_mated_albi_female_3h_C,body,mated,albi,female,3,C
CT1_RBV,body_virgin_albi_female_3h_C,body,virgin,albi,female,3,C
CT3_ALBI_At_M,atrium_mated_albi_female_24h_C,atrium,mated,albi,female,24,C
CT3_ALBI_At_V,atrium_virgin_albi_female_24h_C,atrium,virgin,albi,female,24,C
CT3_GAMB_At_M,atrium_mated_gamb_female_24h_C,atrium,mated,gamb,female,24,C
CT3_GAMB_At_V,atrium_virgin_gamb_female_24h_C,atrium,virgin,gamb,female,24,C
CT3_HM,head_mated_albi_female_24h_C,head,mated,albi,female,24,C
CT3_HV,head_virgin_albi_female_24h_C,head,virgin,albi,female,24,C
CT3_MAG-M_Albi,MAG_mated_albi_male_24h_C,MAG,mated,albi,male,24,C
C-T3_MAG-M_Gamb,MAG_mated_gamb_male_24h_C,MAG,mated,gamb,male,24,C
CT3_MAG-V_Albi,MAG_virgin_albi_male_24h_C,MAG,virgin,albi,male,24,C
C-T3_MAG-V_Gamb,MAG_virgin_gamb_male_24h_C,MAG,virgin,gamb,male,24,C
CT1_HV,head_virgin_albi_female_3h_C,head,virgin,albi,female,3,C
CT3_RBM,body_mated_albi_female_24h_C,body,mated,albi,female,24,C
CT3_RBV,body_virgin_albi_female_24h_C,body,virgin,albi,female,24,C
DT1_GAMB_At_M,atrium_mated_gamb_female_3h_D,atrium,mated,gamb,female,3,D
DT1_GAMB_At_V,atrium_virgin_gamb_female_3h_D,atrium,virgin,gamb,female,3,D
DT1_HM,head_mated_albi_female_3h_D,head,mated,albi,female,3,D
DT1_HV,head_virgin_albi_female_3h_D,head,virgin,albi,female,3,D
DT1_RBM,body_mated_albi_female_3h_D,body,mated,albi,female,3,D
DT1_RBV,body_virgin_albi_female_3h_D,body,mated,albi,female,3,D
DT3_MAG-M_Albi,MAG_mated_albi_male_24h_D,MAG,mated,albi,male,24,D
D-T3_MAG-M_Gamb,MAG_mated_gamb_male_24h_D,MAG,mated,gamb,male,24,D
DT3_MAG-V_Albi,MAG_virgin_albi_male_24h_D,MAG,virgin,albi,male,24,D
D-T3_MAG-V_Gamb,MAG_virgin_gamb_male_24h_D,MAG,virgin,gamb,male,24,D
DT3_ALBI_At_M,atrium_mated_albi_female_24h_D,atrium,mated,albi,female,24,D
DT3_ALBI_At_V,atrium_virgin_albi_female_24h_D,atrium,virgin,albi,female,24,D
DT3_GAMB_At_M,atrium_mated_gamb_female_24h_D,atrium,mated,gamb,female,24,D
DT3_GAMB_At_V,atrium_virgin_gamb_female_24h_D,atrium,virgin,gamb,female,24,D
DT3_HM,head_mated_albi_female_24h_D,head,mated,albi,female,24,D
DT3_HV,head_virgin_albi_female_24h_D,head,virgin,albi,female,24,D
DT3_RBM,body_mated_albi_female_24h_D,body,mated,albi,female,24,D
DT3_RBV,body_virgin_albi_female_24h_D,body,virgin,albi,female,24,D
